,Station,Line,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
78,Patel Nagar,3,28.6455858,77.1686983,3,9,0,16,6,7,7,4,9,9
79,Rajendra Place,3,28.642495500000003,77.17827559999999,4,4,2,21,9,4,12,3,11,19
80,Rajouri Garden,3,28.642151799999997,77.11606037769262,5,9,2,38,6,5,3,1,17,3
81,Ramakrishna Ashram Marg,3,28.6392436,77.2085787,1,9,2,35,4,2,9,1,7,46
82,Ramesh Nagar,3,28.652744399999996,77.13164959999999,3,8,2,16,5,4,3,2,12,8
83,Noida Sector 62,3,28.480862899999995,77.08488829999999,5,9,0,43,7,3,26,3,40,3
84,Shadipur,3,28.651636199999995,77.1582947,5,3,0,9,0,7,3,5,25,8
85,Noida Sector 61,3,28.480862899999995,77.08488829999999,5,9,0,43,7,3,26,3,40,3
86,Noida Sector 59,3,28.480862899999995,77.08488829999999,5,9,0,43,7,3,26,3,40,3
87,Noida Sector 52,3,28.480862899999995,77.08488829999999,5,9,0,43,7,3,26,3,40,3
88,Noida Sector 34,3,28.480862899999995,77.08488829999999,5,9,0,43,7,3,26,3,40,3
89,Noida Sector 18,3,28.480862899999995,77.08488829999999,5,9,0,43,7,3,26,3,40,3
90,Noida Sector 16,3,28.480862899999995,77.08488829999999,5,9,0,43,7,3,26,3,40,3
91,Noida Sector 15,3,28.480862899999995,77.08488829999999,5,9,0,43,7,3,26,3,40,3
92,Noida Electronic City,3,28.5793538,77.29330300000001,0,0,0,0,0,1,3,0,2,1
93,Nawada,3,28.6202758,77.0450787,1,5,1,5,0,0,8,1,20,0
94,Laxmi Nagar,3,28.63055515,77.2776331681994,0,9,1,4,0,3,4,1,8,3
95,Yamuna Bank,3,28.6232784,77.26792404925054,0,1,0,4,0,4,4,0,1,3
96,Indraprastha,3,28.620601899999997,77.249551,3,2,2,3,1,4,12,0,8,3
97,Janakpuri West,3,28.6289502,77.0779235,2,4,1,16,6,3,4,1,4,5
98,Dwarka Sector 12,3,28.592236199999995,77.04073149999999,1,6,1,12,5,5,3,2,13,3
99,Dwarka Sector 11,3,28.5864469,77.0494375,3,4,2,7,2,3,18,5,4,3
100,Dwarka Sector 10,3,28.5810577,77.05749959999999,3,4,1,7,3,3,3,4,20,5
101,Janakpuri East,3,28.633021000000003,77.08675699999999,5,4,1,16,4,4,3,1,8,6
102,Golf Course,3,28.59778075,77.15981693149558,0,4,0,5,1,1,2,0,1,2
